XSL Export	sintesis_2023-06-28_300w_1lar_2g_h_sin_shielding_.sac																																																																																																																																											
Date & Time	28/06/2023 8:34																																																																																																																																											
Nb Cycles	140																																																																																																																																											
																																																																																																																																												
First mass	1			Ion current	A																																																																																																																																							
Scan Width	50			Mass Unit	u																																																																																																																																							
Value/Mass	32																																																																																																																																											
u Start	1																																																																																																																																											
u End	51																																																																																																																																											
																																																																																																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140
	0	53	106	159	212	265	319	372	425	479	532	585	639	692	745	799	852	905	959	1012	1065	1119	1172	1225	1279	1332	1385	1439	1492	1545	1598	1652	1705	1758	1812	1865	1918	1972	2025	2078	2132	2185	2238	2292	2345	2398	2452	2505	2558	2612	2665	2718	2771	2825	2878	2931	2985	3038	3091	3145	3198	3251	3304	3358	3411	3464	3518	3571	3624	3678	3731	3784	3838	3891	3944	3997	4050	4104	4157	4210	4263	4317	4370	4423	4477	4530	4583	4636	4690	4743	4796	4850	4903	4956	5009	5063	5116	5169	5222	5276	5329	5382	5436	5489	5542	5595	5649	5702	5755	5809	5862	5915	5968	6022	6075	6128	6181	6235	6288	6341	6394	6448	6501	6554	6608	6661	6714	6767	6821	6874	6927	6981	7034	7087	7140	7194	7247	7300	7354	7407
1	6.40054E-12	6.01244E-12	6.16067E-12	6.10544E-12	7.7236E-12	1.11657E-11	1.34224E-11	1.54693E-11	1.69985E-11	1.83996E-11	1.91348E-11	1.95547E-11	2.07044E-11	2.15493E-11	2.19208E-11	2.23653E-11	2.24788E-11	2.27399E-11	2.349E-11	2.3656E-11	2.37733E-11	2.39109E-11	2.35813E-11	2.49314E-11	2.529E-11	2.46547E-11	2.57762E-11	2.55974E-11	2.52697E-11	2.55606E-11	2.62799E-11	2.58968E-11	2.60623E-11	2.65405E-11	2.68742E-11	2.68434E-11	2.72181E-11	2.69437E-11	2.78925E-11	2.78253E-11	2.8061E-11	2.75745E-11	2.78128E-11	2.87443E-11	2.85061E-11	2.8806E-11	2.90081E-11	2.9284E-11	3.01713E-11	2.95215E-11	2.98321E-11	3.01002E-11	2.9335E-11	3.00017E-11	2.94271E-11	3.06982E-11	3.04699E-11	3.04524E-11	3.07941E-11	3.07024E-11	3.06507E-11	3.06198E-11	3.09058E-11	3.10469E-11	3.14546E-11	3.10397E-11	3.13872E-11	3.17561E-11	3.18104E-11	3.20492E-11	3.22121E-11	3.23856E-11	3.2556E-11	3.18015E-11	3.25548E-11	3.19602E-11	3.23014E-11	3.25159E-11	3.25555E-11	3.30606E-11	3.34605E-11	3.25892E-11	3.30771E-11	3.34374E-11	3.32067E-11	3.37426E-11	3.35213E-11	3.36193E-11	3.38676E-11	3.42571E-11	3.36907E-11	3.41625E-11	3.40376E-11	3.42446E-11	3.47196E-11	3.47251E-11	3.49947E-11	3.42729E-11	3.40896E-11	3.45185E-11	3.44656E-11	3.48298E-11	3.48169E-11	3.49839E-11	3.46841E-11	3.54172E-11	3.479E-11	3.46016E-11	3.49539E-11	3.51472E-11	3.52625E-11	3.52794E-11	3.5592E-11	3.54252E-11	3.54536E-11	3.56525E-11	3.59895E-11	3.60065E-11	3.55911E-11	3.56017E-11	3.57168E-11	3.59196E-11	3.60224E-11	3.6376E-11	3.61724E-11	3.62585E-11	3.63616E-11	3.59034E-11	3.6248E-11	3.62034E-11	3.62965E-11	3.65102E-11	3.66919E-11	3.6223E-11	3.68447E-11	3.67938E-11	3.66921E-11	3.69468E-11	3.66991E-11	3.71095E-11
1.03125	7.35083E-12	6.77698E-12	6.99486E-12	7.03089E-12	1.05178E-11	1.53432E-11	1.86282E-11	2.10848E-11	2.29456E-11	2.45457E-11	2.5567E-11	2.61095E-11	2.7454E-11	2.82567E-11	2.87141E-11	2.92214E-11	2.91802E-11	2.94496E-11	3.01014E-11	3.05031E-11	3.04931E-11	3.04072E-11	3.03994E-11	3.19463E-11	3.22332E-11	3.14638E-11	3.25831E-11	3.2379E-11	3.21313E-11	3.21843E-11	3.27647E-11	3.21837E-11	3.27117E-11	3.30551E-11	3.33442E-11	3.33705E-11	3.37531E-11	3.37381E-11	3.45116E-11	3.4479E-11	3.45554E-11	3.42076E-11	3.43188E-11	3.53638E-11	3.52084E-11	3.55225E-11	3.53948E-11	3.60521E-11	3.662E-11	3.61407E-11	3.65333E-11	3.67234E-11	3.59726E-11	3.66559E-11	3.61734E-11	3.7255E-11	3.72123E-11	3.71942E-11	3.73918E-11	3.71866E-11	3.72813E-11	3.72582E-11	3.79753E-11	3.74479E-11	3.81281E-11	3.77735E-11	3.80941E-11	3.8659E-11	3.84124E-11	3.88184E-11	3.88887E-11	3.89372E-11	3.95056E-11	3.84801E-11	3.92817E-11	3.85675E-11	3.87749E-11	3.9151E-11	3.90426E-11	3.96276E-11	4.03834E-11	3.91939E-11	3.99587E-11	4.02259E-11	3.9946E-11	4.0539E-11	4.01903E-11	4.03802E-11	4.04883E-11	4.09899E-11	4.04732E-11	4.08992E-11	4.08849E-11	4.10371E-11	4.12149E-11	4.15436E-11	4.1577E-11	4.07831E-11	4.12026E-11	4.10852E-11	4.09487E-11	4.15695E-11	4.13206E-11	4.16485E-11	4.09934E-11	4.20627E-11	4.12251E-11	4.12978E-11	4.17797E-11	4.1713E-11	4.17611E-11	4.18516E-11	4.19839E-11	4.23837E-11	4.20154E-11	4.19824E-11	4.25349E-11	4.25313E-11	4.23441E-11	4.24435E-11	4.23981E-11	4.23831E-11	4.28013E-11	4.29166E-11	4.29705E-11	4.31975E-11	4.31083E-11	4.2433E-11	4.28902E-11	4.27118E-11	4.30016E-11	4.29004E-11	4.33255E-11	4.26427E-11	4.34712E-11	4.34342E-11	4.33075E-11	4.35219E-11	4.3301E-11	4.37335E-11
1.0625	1.00766E-11	9.17399E-12	9.45694E-12	9.66445E-12	1.72634E-11	2.55887E-11	3.11675E-11	3.48526E-11	3.73423E-11	3.95007E-11	4.10789E-11	4.1758E-11	4.32654E-11	4.39324E-11	4.48102E-11	4.53465E-11	4.48849E-11	4.54789E-11	4.5964E-11	4.66316E-11	4.61851E-11	4.5729E-11	4.63206E-11	4.80331E-11	4.80487E-11	4.72552E-11	4.84999E-11	4.81586E-11	4.81341E-11	4.76201E-11	4.79837E-11	4.73047E-11	4.83035E-11	4.82295E-11	4.85471E-11	4.84656E-11	4.91125E-11	4.91278E-11	4.97411E-11	4.9734E-11	4.97605E-11	4.9642E-11	4.96114E-11	5.04636E-11	5.06034E-11	5.08643E-11	5.04315E-11	5.15716E-11	5.17238E-11	5.14414E-11	5.17779E-11	5.20499E-11	5.12399E-11	5.19984E-11	5.17917E-11	5.22655E-11	5.23297E-11	5.2486E-11	5.25736E-11	5.21455E-11	5.25396E-11	5.25078E-11	5.38336E-11	5.24276E-11	5.31529E-11	5.29868E-11	5.29737E-11	5.41373E-11	5.349E-11	5.41297E-11	5.40747E-11	5.38828E-11	5.48222E-11	5.36124E-11	5.46598E-11	5.40184E-11	5.36918E-11	5.42996E-11	5.38286E-11	5.45334E-11	5.57781E-11	5.43181E-11	5.48763E-11	5.53374E-11	5.55471E-11	5.56814E-11	5.50721E-11	5.56596E-11	5.55581E-11	5.60891E-11	5.55975E-11	5.60363E-11	5.60746E-11	5.61529E-11	5.58859E-11	5.67726E-11	5.63188E-11	5.55759E-11	5.65148E-11	5.586E-11	5.57164E-11	5.6338E-11	5.58974E-11	5.66049E-11	5.54717E-11	5.66662E-11	5.58042E-11	5.59968E-11	5.68063E-11	5.6329E-11	5.64601E-11	5.65811E-11	5.6374E-11	5.73284E-11	5.68056E-11	5.67276E-11	5.73106E-11	5.70177E-11	5.72401E-11	5.75494E-11	5.70223E-11	5.70277E-11	5.77392E-11	5.74766E-11	5.81063E-11	5.82137E-11	5.78176E-11	5.69815E-11	5.73151E-11	5.72747E-11	5.79892E-11	5.73572E-11	5.7753E-11	5.70339E-11	5.81019E-11	5.82937E-11	5.79748E-11	5.81164E-11	5.78216E-11	5.81996E-11
1.09375	1.56424E-11	1.42629E-11	1.44726E-11	1.50226E-11	3.01158E-11	4.54848E-11	5.5187E-11	6.13345E-11	6.51266E-11	6.84054E-11	7.08485E-11	7.16377E-11	7.3259E-11	7.37872E-11	7.53242E-11	7.59051E-11	7.47618E-11	7.60026E-11	7.62376E-11	7.71014E-11	7.59544E-11	7.5096E-11	7.63827E-11	7.82339E-11	7.78699E-11	7.69068E-11	7.84841E-11	7.76714E-11	7.82965E-11	7.69141E-11	7.70426E-11	7.62581E-11	7.7729E-11	7.70185E-11	7.74187E-11	7.70843E-11	7.82284E-11	7.78981E-11	7.84877E-11	7.84553E-11	7.85599E-11	7.88195E-11	7.83298E-11	7.88813E-11	7.93344E-11	7.94754E-11	7.92745E-11	8.06085E-11	8.04228E-11	8.02419E-11	8.04334E-11	8.08708E-11	7.99632E-11	8.08244E-11	8.08734E-11	8.06767E-11	8.04772E-11	8.08235E-11	8.10903E-11	8.03015E-11	8.11138E-11	8.08473E-11	8.29505E-11	8.05982E-11	8.10925E-11	8.13331E-11	8.0688E-11	8.26177E-11	8.15925E-11	8.25804E-11	8.24145E-11	8.19447E-11	8.31654E-11	8.16748E-11	8.32014E-11	8.2834E-11	8.18588E-11	8.25448E-11	8.15738E-11	8.24968E-11	8.41894E-11	8.26911E-11	8.24086E-11	8.32497E-11	8.43999E-11	8.35422E-11	8.267E-11	8.38659E-11	8.35185E-11	8.41452E-11	8.35555E-11	8.41351E-11	8.40641E-11	8.41282E-11	8.35346E-11	8.49197E-11	8.39403E-11	8.32098E-11	8.43727E-11	8.34006E-11	8.34358E-11	8.3526E-11	8.30658E-11	8.43592E-11	8.26263E-11	8.37958E-11	8.31046E-11	8.31509E-11	8.43797E-11	8.34974E-11	8.39613E-11	8.387E-11	8.32871E-11	8.46795E-11	8.41399E-11	8.43711E-11	8.49273E-11	8.39911E-11	8.46839E-11	8.51582E-11	8.39626E-11	8.40118E-11	8.50791E-11	8.46285E-11	8.5996E-11	8.55237E-11	8.49151E-11	8.39838E-11	8.39451E-11	8.42262E-11	8.54497E-11	8.42716E-11	8.43524E-11	8.38415E-11	8.49392E-11	8.57685E-11	8.49552E-11	8.51181E-11	8.46251E-11	8.50074E-11
1.125	2.46065E-11	2.25383E-11	2.24595E-11	2.35915E-11	5.00037E-11	7.67339E-11	9.25096E-11	1.02614E-10	1.0859E-10	1.13614E-10	1.17021E-10	1.1803E-10	1.19704E-10	1.20205E-10	1.22401E-10	1.2304E-10	1.21291E-10	1.23244E-10	1.23083E-10	1.24202E-10	1.22359E-10	1.21159E-10	1.22742E-10	1.24789E-10	1.24048E-10	1.22702E-10	1.24614E-10	1.23054E-10	1.24851E-10	1.22484E-10	1.22289E-10	1.21441E-10	1.23202E-10	1.21765E-10	1.22263E-10	1.21576E-10	1.23463E-10	1.22426E-10	1.22963E-10	1.23052E-10	1.23108E-10	1.23991E-10	1.22391E-10	1.23158E-10	1.23506E-10	1.23373E-10	1.2422E-10	1.25249E-10	1.24999E-10	1.24837E-10	1.24837E-10	1.25348E-10	1.24237E-10	1.25381E-10	1.25359E-10	1.24804E-10	1.24069E-10	1.24378E-10	1.25121E-10	1.23897E-10	1.25076E-10	1.24162E-10	1.27001E-10	1.2401E-10	1.24039E-10	1.24903E-10	1.23854E-10	1.26007E-10	1.24833E-10	1.26349E-10	1.26101E-10	1.2529E-10	1.267E-10	1.24803E-10	1.26875E-10	1.2699E-10	1.25629E-10	1.26091E-10	1.24602E-10	1.2586E-10	1.27669E-10	1.26476E-10	1.25117E-10	1.26098E-10	1.28232E-10	1.26156E-10	1.25085E-10	1.2683E-10	1.2643E-10	1.27356E-10	1.26562E-10	1.2728E-10	1.27133E-10	1.27191E-10	1.26754E-10	1.28079E-10	1.26723E-10	1.25857E-10	1.2702E-10	1.25943E-10	1.26466E-10	1.25547E-10	1.25212E-10	1.26934E-10	1.24656E-10	1.25924E-10	1.25205E-10	1.2516E-10	1.26561E-10	1.25335E-10	1.26384E-10	1.25811E-10	1.24976E-10	1.26609E-10	1.25898E-10	1.26778E-10	1.27466E-10	1.25746E-10	1.26871E-10	1.27071E-10	1.25558E-10	1.25156E-10	1.26638E-10	1.26631E-10	1.28412E-10	1.2711E-10	1.26521E-10	1.25674E-10	1.25094E-10	1.25438E-10	1.27E-10	1.25841E-10	1.25439E-10	1.25238E-10	1.26067E-10	1.27799E-10	1.26233E-10	1.26622E-10	1.25765E-10	1.26468E-10
1.15625	3.63848E-11	3.3386E-11	3.28112E-11	3.4827E-11	7.55437E-11	1.17172E-10	1.40472E-10	1.55904E-10	1.64672E-10	1.71873E-10	1.76249E-10	1.77736E-10	1.79535E-10	1.80091E-10	1.8279E-10	1.83435E-10	1.81443E-10	1.84045E-10	1.8308E-10	1.84855E-10	1.82504E-10	1.81073E-10	1.82253E-10	1.84607E-10	1.8343E-10	1.81734E-10	1.83793E-10	1.81689E-10	1.8456E-10	1.81422E-10	1.8075E-10	1.80173E-10	1.81754E-10	1.79733E-10	1.80342E-10	1.79125E-10	1.82104E-10	1.80068E-10	1.8013E-10	1.80879E-10	1.80564E-10	1.82129E-10	1.78959E-10	1.80898E-10	1.80372E-10	1.79754E-10	1.82152E-10	1.82669E-10	1.82662E-10	1.82474E-10	1.82304E-10	1.82774E-10	1.81138E-10	1.82837E-10	1.82476E-10	1.81861E-10	1.80723E-10	1.80705E-10	1.81996E-10	1.80365E-10	1.818E-10	1.79834E-10	1.83025E-10	1.80069E-10	1.79576E-10	1.81054E-10	1.80383E-10	1.81571E-10	1.80782E-10	1.82995E-10	1.82519E-10	1.81309E-10	1.82791E-10	1.80567E-10	1.82977E-10	1.83718E-10	1.82335E-10	1.82393E-10	1.80504E-10	1.82166E-10	1.83698E-10	1.82896E-10	1.80793E-10	1.81421E-10	1.84159E-10	1.81163E-10	1.79835E-10	1.81904E-10	1.819E-10	1.83275E-10	1.82195E-10	1.82878E-10	1.82898E-10	1.82914E-10	1.83322E-10	1.83754E-10	1.8213E-10	1.81035E-10	1.82192E-10	1.8093E-10	1.82311E-10	1.80417E-10	1.80162E-10	1.81698E-10	1.79221E-10	1.80809E-10	1.79536E-10	1.79916E-10	1.8084E-10	1.7956E-10	1.81104E-10	1.79993E-10	1.79135E-10	1.80683E-10	1.79631E-10	1.81213E-10	1.82289E-10	1.79883E-10	1.81529E-10	1.80782E-10	1.79721E-10	1.78194E-10	1.79858E-10	1.81062E-10	1.82597E-10	1.80654E-10	1.80283E-10	1.79751E-10	1.78653E-10	1.78311E-10	1.80047E-10	1.79863E-10	1.78902E-10	1.78981E-10	1.79297E-10	1.81801E-10	1.79469E-10	1.80259E-10	1.78902E-10	1.80337E-10
1.1875	4.91523E-11	4.50895E-11	4.38826E-11	4.7131E-11	1.03028E-10	1.60866E-10	1.91934E-10	2.13311E-10	2.24891E-10	2.34409E-10	2.39937E-10	2.42067E-10	2.44338E-10	2.44838E-10	2.47862E-10	2.48455E-10	2.46492E-10	2.4994E-10	2.47441E-10	2.50375E-10	2.47605E-10	2.4619E-10	2.46606E-10	2.49293E-10	2.47391E-10	2.45615E-10	2.47942E-10	2.45697E-10	2.48766E-10	2.45378E-10	2.44189E-10	2.44339E-10	2.45148E-10	2.42965E-10	2.4377E-10	2.41711E-10	2.46005E-10	2.42864E-10	2.41966E-10	2.43799E-10	2.43086E-10	2.44935E-10	2.40383E-10	2.44147E-10	2.42224E-10	2.41019E-10	2.44867E-10	2.45043E-10	2.45454E-10	2.45138E-10	2.44827E-10	2.45307E-10	2.42877E-10	2.45137E-10	2.44611E-10	2.43911E-10	2.42874E-10	2.42355E-10	2.44143E-10	2.42181E-10	2.43773E-10	2.40879E-10	2.43697E-10	2.41396E-10	2.40665E-10	2.42431E-10	2.42673E-10	2.42006E-10	2.42227E-10	2.45146E-10	2.44016E-10	2.42513E-10	2.44042E-10	2.41611E-10	2.44056E-10	2.45323E-10	2.44104E-10	2.4382E-10	2.41727E-10	2.43897E-10	2.45044E-10	2.44256E-10	2.41945E-10	2.41995E-10	2.44802E-10	2.41443E-10	2.39782E-10	2.41966E-10	2.42684E-10	2.44522E-10	2.43039E-10	2.435E-10	2.43774E-10	2.43947E-10	2.45577E-10	2.44613E-10	2.42623E-10	2.41407E-10	2.42718E-10	2.40942E-10	2.43341E-10	2.41147E-10	2.40655E-10	2.41459E-10	2.39089E-10	2.40983E-10	2.38964E-10	2.40199E-10	2.40087E-10	2.39368E-10	2.40766E-10	2.3923E-10	2.3861E-10	2.39807E-10	2.38488E-10	2.4048E-10	2.4212E-10	2.39222E-10	2.41602E-10	2.39393E-10	2.39393E-10	2.36675E-10	2.37951E-10	2.40637E-10	2.41435E-10	2.39289E-10	2.39264E-10	2.3905E-10	2.3771E-10	2.36032E-10	2.38054E-10	2.39367E-10	2.37897E-10	2.38152E-10	2.37909E-10	2.4071E-10	2.37926E-10	2.39038E-10	2.37334E-10	2.39538E-10
1.21875	6.04485E-11	5.54223E-11	5.35924E-11	5.82593E-11	1.27548E-10	2.00243E-10	2.37764E-10	2.64592E-10	2.78654E-10	2.90402E-10	2.97086E-10	2.99862E-10	3.03137E-10	3.03268E-10	3.06548E-10	3.0707E-10	3.05195E-10	3.0993E-10	3.05245E-10	3.09381E-10	3.06181E-10	3.05275E-10	3.05172E-10	3.08009E-10	3.04998E-10	3.03355E-10	3.06595E-10	3.04119E-10	3.0659E-10	3.03548E-10	3.01934E-10	3.02958E-10	3.02739E-10	3.00924E-10	3.01944E-10	2.98951E-10	3.04132E-10	3.00347E-10	2.98408E-10	3.01006E-10	3.00302E-10	3.0191E-10	2.96547E-10	3.01914E-10	2.99026E-10	2.97274E-10	3.01974E-10	3.02037E-10	3.02916E-10	3.02228E-10	3.01796E-10	3.02453E-10	2.99315E-10	3.02067E-10	3.01662E-10	3.00656E-10	3.00299E-10	2.99229E-10	3.01535E-10	2.99326E-10	3.00829E-10	2.97937E-10	2.99541E-10	2.97983E-10	2.97672E-10	2.99293E-10	2.99975E-10	2.97809E-10	2.99334E-10	3.02738E-10	3.00543E-10	2.9893E-10	3.00732E-10	2.98061E-10	3.00323E-10	3.01696E-10	3.00664E-10	3.002E-10	2.98157E-10	3.01004E-10	3.01839E-10	3.00574E-10	2.98632E-10	2.98084E-10	3.00727E-10	2.97181E-10	2.95477E-10	2.97548E-10	2.98877E-10	3.01101E-10	2.9916E-10	2.99382E-10	2.99632E-10	3.00499E-10	3.02959E-10	3.00748E-10	2.98351E-10	2.97414E-10	2.98838E-10	2.96497E-10	2.99493E-10	2.97908E-10	2.9661E-10	2.96845E-10	2.94443E-10	2.96394E-10	2.94169E-10	2.96117E-10	2.94991E-10	2.95246E-10	2.95843E-10	2.93934E-10	2.93804E-10	2.94781E-10	2.93304E-10	2.95208E-10	2.97543E-10	2.9453E-10	2.97389E-10	2.93599E-10	2.94793E-10	2.91628E-10	2.92124E-10	2.95601E-10	2.95793E-10	2.93821E-10	2.94091E-10	2.94017E-10	2.92706E-10	2.89882E-10	2.92422E-10	2.94753E-10	2.9314E-10	2.93314E-10	2.9274E-10	2.95308E-10	2.92561E-10	2.93691E-10	2.92171E-10	2.94759E-10
1.25	6.82379E-11	6.25506E-11	6.02394E-11	6.60674E-11	1.44901E-10	2.2891E-10	2.70738E-10	3.01733E-10	3.18052E-10	3.31564E-10	3.38796E-10	3.42205E-10	3.46975E-10	3.46367E-10	3.50203E-10	3.50485E-10	3.48812E-10	3.54935E-10	3.48102E-10	3.53064E-10	3.49379E-10	3.4958E-10	3.49386E-10	3.5206E-10	3.47884E-10	3.46357E-10	3.51075E-10	3.47879E-10	3.49818E-10	3.47235E-10	3.45231E-10	3.47021E-10	3.46166E-10	3.45022E-10	3.46075E-10	3.42543E-10	3.4754E-10	3.44271E-10	3.41236E-10	3.44144E-10	3.43633E-10	3.45034E-10	3.39359E-10	3.45193E-10	3.42686E-10	3.40496E-10	3.45155E-10	3.45296E-10	3.46627E-10	3.45339E-10	3.44887E-10	3.45773E-10	3.42192E-10	3.45749E-10	3.45212E-10	3.4392E-10	3.44404E-10	3.43006E-10	3.45887E-10	3.43451E-10	3.44474E-10	3.42655E-10	3.42744E-10	3.41398E-10	3.42223E-10	3.43472E-10	3.43293E-10	3.41072E-10	3.43688E-10	3.47293E-10	3.44123E-10	3.42492E-10	3.44618E-10	3.41848E-10	3.43773E-10	3.44767E-10	3.43783E-10	3.43409E-10	3.41731E-10	3.45214E-10	3.457E-10	3.4381E-10	3.42904E-10	3.41392E-10	3.44249E-10	3.40163E-10	3.38928E-10	3.40679E-10	3.4241E-10	3.44826E-10	3.42465E-10	3.427E-10	3.42453E-10	3.44471E-10	3.46957E-10	3.44029E-10	3.41497E-10	3.41388E-10	3.42473E-10	3.4004E-10	3.42617E-10	3.42319E-10	3.3954E-10	3.40049E-10	3.37165E-10	3.38987E-10	3.37282E-10	3.39526E-10	3.37846E-10	3.3878E-10	3.38552E-10	3.36282E-10	3.3678E-10	3.38053E-10	3.36343E-10	3.3764E-10	3.40699E-10	3.38212E-10	3.40567E-10	3.35573E-10	3.37735E-10	3.34897E-10	3.35037E-10	3.37827E-10	3.38248E-10	3.36508E-10	3.36725E-10	3.36885E-10	3.35543E-10	3.3266E-10	3.35567E-10	3.3784E-10	3.36614E-10	3.36436E-10	3.35822E-10	3.37852E-10	3.35472E-10	3.36563E-10	3.35734E-10	3.38374E-10
