Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25
Hydrogen	0.00016546483056671768	0.00016285006518912341	0.00016112936341346114	0.0001612223446075258	0.00016120655916125547	0.00016247676763043474	0.000162857311104316	0.00016000757432868234	0.00016233274463533427	0.00016507437909975655	0.0001652148604063316	0.0001656326293531497	0.0001669145707061592	0.00016216403553309986	0.00016597022122213993	0.0001672230356106737	0.0001664351252336291	0.00016590569875172398	0.00016454520104313902	0.00016774288892855261	0.00017144673961445674	0.00017010911188952046	0.0001694537752743711	0.00017054652941283705	0.00017175115715263408
Deuterium	5.471338654887668e-06	5.478445103001119e-06	5.194202301078056e-06	5.135239578082404e-06	5.463952103602549e-06	5.485280919914603e-06	4.986941895284444e-06	5.169224089405362e-06	5.610636603223088e-06	5.265812938780756e-06	5.341007837107519e-06	5.219522380174865e-06	5.128800457015389e-06	5.270653459552917e-06	5.503616331738015e-06	5.784419787292186e-06	5.658034865582611e-06	5.65010256229931e-06	5.567087177404356e-06	5.500912102646721e-06	5.603696771183737e-06	5.430458972910144e-06	5.482976440399053e-06	5.8703235929119635e-06	5.440702620396069e-06
Methane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Water	0.004065005598435607	0.0038416745046464455	0.0037106324442876095	0.0035820740419605784	0.003453019518445562	0.003379387278630354	0.003360085125658459	0.0032558047873447976	0.003210842468138584	0.003151555067294287	0.0030886314710195845	0.0030475131873012743	0.003012905643622746	0.002996440800686034	0.0029423117040392696	0.0029310466816503686	0.002906724684108121	0.0028561762622781126	0.0028356426443111944	0.002814747945262246	0.002794748483125903	0.002767385814708472	0.002761959935838199	0.0027391667994915094	0.0027029297207412884
Hydrogen cyanide	1.563557628179658e-06	2.0697952333397106e-06	9.952324140806679e-07	3.0087006089321294e-06	2.5580751611360696e-06	8.134196158097923e-07	0.0	1.0241337138725772e-06	5.297827368645577e-07	0.0	2.6286778178473068e-06	0.0	6.043958058172185e-07	1.0548390255679136e-06	1.178286129665327e-06	7.330862047465206e-07	8.456720382254278e-07	1.429206896994488e-06	8.574992632633773e-07	1.315053277347519e-06	1.5401960061139755e-06	0.0	1.2851695458753808e-07	1.8684785993318603e-06	2.6866108672443325e-06
Carbon monoxide	0.00546056963207285	0.005377488429991117	0.005591353559365354	0.0044521329932244854	0.004334344932816492	0.0053206433910351035	0.005651972915194886	0.004993651167543369	0.004857156401710689	0.005342483644802789	0.0039381761659052815	0.005769781712587712	0.004464881718971618	0.00436736531466506	0.004190446598458424	0.0042529409761555064	0.0042708049581667	0.003996517045819274	0.004008744132119175	0.004057806198796233	0.0036126140764252807	0.004813411249366931	0.0044027629336195395	0.003474010015008941	0.0031973889851181023
Nitrogen	0.006095590597606124	0.006548174454250193	0.005866975643617753	0.0053881469699387	0.005641597093787823	0.0054546892754915805	0.006453881298172634	0.005284747310726256	0.005598930643421719	0.004946663887558003	0.005545603989281334	0.004939604505252765	0.005269223939124381	0.005054265435934749	0.0049025318742411915	0.005526139932396135	0.005098307283446259	0.005523462862352308	0.005265066003843311	0.0048694465178798765	0.0053811088965309084	0.005048184763157939	0.004667152770801863	0.004652585261359123	0.004726056865320133
Nitric oxide	0.00022001663565488196	0.0002202092824947121	0.0002097184333865736	0.00015518461293670963	0.00018089790611997312	0.0001795190250324938	0.0001841520914002991	0.00018652467010727659	0.0001687921803441334	0.0001325839387961186	0.00015394765972122937	0.0001454913316672908	0.00016353348170819527	0.00014010023440164964	0.00013759144592680506	0.00014591719215302151	0.00014553620527763577	0.00015104690050495267	0.00013318577974321872	0.00011660239768965372	0.00011858562529049143	9.992350243354625e-05	0.00012847206283810868	0.00010277610365264774	0.00010666150251088729
Oxygen	0.002145918719869497	0.002196524468039986	0.0021299459250609465	0.001953841342329686	0.002130902379345528	0.002022826479559437	0.0021281281063134276	0.0019946857272003676	0.0019314178967216775	0.0017755351421311655	0.00201152344864375	0.0017407766688205136	0.0018629156319837096	0.001700308232488232	0.001694042721909304	0.0018257748416382026	0.0018551445334250391	0.0018235599848814416	0.0017965276335400353	0.0018769222110774848	0.0017856125677606404	0.0016644275990008199	0.0017367813018887407	0.0017967760319789951	0.001572414817575081
Argon	1.012051326469064	1.0117758174598959	1.0117012883168044	1.0116663832805664	1.0115165074554824	1.011468920235891	1.0114360730744896	1.0113248379880737	1.0113814221663502	1.0113883101706502	1.0113870626696941	1.0113381694805241	1.0113043800072292	1.0114106360756228	1.0113036503339499	1.0113372337645288	1.0114555622617576	1.011232384808313	1.0112912485637895	1.0111576340638404	1.0112905010460809	1.0113044160433713	1.0112426269768413	1.0112802915908277	1.0111651089041023
Carbon dioxide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrous oxide	2.1413403069545178e-05	1.926300019716771e-05	2.0673639235177978e-05	2.3783795080122765e-05	1.7918599988427397e-05	1.6685080639614076e-05	1.5182322419609025e-05	1.5723709343910977e-05	1.5759692511356405e-05	1.702169644051178e-05	1.756336246950345e-05	1.4934518710801882e-05	1.5799967991105348e-05	1.6490832672538663e-05	1.7618968107477762e-05	1.5910146859879155e-05	1.4599856429129343e-05	1.4895972560231177e-05	1.6294137408319027e-05	1.2863279624075817e-05	1.5518200324284307e-05	1.3985678439230184e-05	1.3055136749385173e-05	1.3504441518478284e-05	1.848594648231882e-05
