Mass	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1.0	1.7096531135241122e-10	1.6158371862751153e-10	1.5627674154750082e-10	1.544216005067156e-10	1.5340881343028911e-10	1.5082707305325016e-10	1.491371748318926e-10	1.4841976259116763e-10	1.4780726642626973e-10	1.45461059863905e-10	1.453265979778351e-10	1.4521267521772074e-10	1.4377260493247945e-10	1.4297267536544922e-10	1.4156241456841911e-10	1.4193753117286434e-10	1.402073457335007e-10	1.394309390168047e-10	1.389486165015441e-10	1.3893924899477383e-10	1.3862073988679668e-10
1.03125	1.694357015802339e-10	1.5959085442052157e-10	1.5472888248435623e-10	1.5271679754125245e-10	1.5109702378168777e-10	1.4891099464620083e-10	1.4730423825159988e-10	1.4669650216792007e-10	1.4598312836344718e-10	1.4374039458697752e-10	1.4356361932588158e-10	1.4278198068318204e-10	1.419076245401385e-10	1.4119859448324945e-10	1.3957451860946435e-10	1.4010961835175806e-10	1.3850315339070107e-10	1.3749533456230978e-10	1.3715481528286944e-10	1.3702895762524037e-10	1.365227236815869e-10
1.0625	1.6902983179800657e-10	1.585628434108699e-10	1.5447128298706758e-10	1.5190913804641326e-10	1.497019314067316e-10	1.479986411201395e-10	1.4644124801677094e-10	1.458430598511029e-10	1.4484226318334237e-10	1.4262305225720695e-10	1.424323992083032e-10	1.4130899228526062e-10	1.4073187060148484e-10	1.4011257432056112e-10	1.3851444990997663e-10	1.3872870907594148e-10	1.3754268557431004e-10	1.3642013907411155e-10	1.3606067661431354e-10	1.3581137603413396e-10	1.3476428306624655e-10
1.09375	1.7008315589261969e-10	1.5904244587972016e-10	1.5555702559399975e-10	1.5237357209318958e-10	1.4989279262245248e-10	1.4830148220568162e-10	1.4679145399210114e-10	1.4618085908413292e-10	1.4473261478187283e-10	1.4253216662485357e-10	1.4227721778503621e-10	1.4114644175666768e-10	1.4050456631498065e-10	1.400001087281666e-10	1.38603170607432e-10	1.380201369860501e-10	1.3756989991620117e-10	1.3630702122569005e-10	1.3597736825410323e-10	1.3560681744184677e-10	1.3414620803064992e-10
1.125	1.7287980769165046e-10	1.61248556174165e-10	1.5774187511752302e-10	1.5427033261961043e-10	1.5185039337062278e-10	1.4986527296922958e-10	1.4854184549051297e-10	1.4782730595186422e-10	1.457318848929745e-10	1.4371627499176753e-10	1.43206363434345e-10	1.421582157545842e-10	1.413817674045248e-10	1.4099382772414515e-10	1.3974453538789788e-10	1.3829445921764716e-10	1.3862008763076972e-10	1.3719053670868675e-10	1.3699698320213116e-10	1.365042523460147e-10	1.3513434815592973e-10
1.15625	1.7724229028903693e-10	1.6493567622788419e-10	1.6069236219440342e-10	1.573626645656745e-10	1.5513722251281337e-10	1.5254296437117176e-10	1.514208342046075e-10	1.5042617151905802e-10	1.4773550438551553e-10	1.4603916687061513e-10	1.4515644242152348e-10	1.4401903281058281e-10	1.4331778819265395e-10	1.4290607586175952e-10	1.416233103013198e-10	1.3971501733323066e-10	1.4037915274656143e-10	1.3891350569839034e-10	1.3884852989587415e-10	1.3823926725553548e-10	1.373921809655343e-10
1.1875	1.825477546901766e-10	1.6954129766766357e-10	1.6415244163958675e-10	1.6103074429452136e-10	1.588984915867897e-10	1.5590222168793133e-10	1.5470427716657298e-10	1.5332170255621946e-10	1.5045033274763142e-10	1.4898940414731499e-10	1.479144723370851e-10	1.4633776135308807e-10	1.4586928887005968e-10	1.4519496716047797e-10	1.439410673986785e-10	1.420765033399718e-10	1.4235967960019025e-10	1.4110590473848106e-10	1.4103515577623682e-10	1.4030902828476854e-10	1.400344146196275e-10
1.21875	1.8797895184885505e-10	1.7414732156328938e-10	1.6766500687825925e-10	1.6437749772446608e-10	1.620367173771342e-10	1.5911295891957167e-10	1.575725938618433e-10	1.5587688084739426e-10	1.5322365598535725e-10	1.5176472578648514e-10	1.508646263470581e-10	1.4855476571096204e-10	1.4824787231138004e-10	1.4719780949690175e-10	1.4620812893717527e-10	1.4465041664468714e-10	1.4413113758049434e-10	1.4314097129819459e-10	1.4291451355674667e-10	1.421077838736906e-10	1.4219074528920572e-10
1.25	1.922186715352936e-10	1.772358509954941e-10	1.7006940300490214e-10	1.66228905640331e-10	1.6344313402694155e-10	1.6098260224861605e-10	1.5909965012106397e-10	1.573067509585968e-10	1.5491695426472774e-10	1.532675930615568e-10	1.5270526509958415e-10	1.4974557704938718e-10	1.4941642367816144e-10	1.4813039683758689e-10	1.473815375296894e-10	1.4620368804507677e-10	1.4509754509006711e-10	1.4402688763848204e-10	1.436522706343979e-10	1.4280139570832517e-10	1.4311439533454262e-10
1.28125	1.9287378638654928e-10	1.7676055064086427e-10	1.694619583547663e-10	1.6512947953462032e-10	1.6202952868304976e-10	1.6004796099533536e-10	1.5788151341844525e-10	1.5620366111690487e-10	1.5387857654758363e-10	1.5199469460824844e-10	1.515529646223257e-10	1.4849468876754202e-10	1.48020845580632e-10	1.467556909329204e-10	1.4597857644904622e-10	1.452017811542916e-10	1.4402085080078564e-10	1.424684675788157e-10	1.421589235217624e-10	1.4112880308836395e-10	1.4170173368022176e-10
1.3125	1.8700641035707122e-10	1.7069130830993373e-10	1.638308932960797e-10	1.5949332132780825e-10	1.5645176820733298e-10	1.546808514607534e-10	1.5212560378063955e-10	1.5069480385765388e-10	1.4827523930893705e-10	1.4626275190998683e-10	1.4567144712707147e-10	1.4317985685963208e-10	1.4254063207541634e-10	1.415023653805747e-10	1.4056748820490128e-10	1.4013941396218144e-10	1.3913162288936576e-10	1.3717062208318254e-10	1.3705328538726747e-10	1.3563596079624318e-10	1.3637131701660365e-10
1.34375	1.73075748177709e-10	1.579814057350859e-10	1.520612108452113e-10	1.4823278715603294e-10	1.454732861949637e-10	1.437115842994885e-10	1.4070258846921035e-10	1.396452814494964e-10	1.3713230551104516e-10	1.3519901864711414e-10	1.344953176607433e-10	1.3285104960569782e-10	1.3205030124918693e-10	1.313720104922922e-10	1.3038616020200067e-10	1.3018798539210508e-10	1.2919840197689325e-10	1.2742076838101468e-10	1.2724395148655532e-10	1.2549725147970037e-10	1.2607262456221235e-10
1.375	1.5241617690175957e-10	1.395850934837739e-10	1.3486557703945579e-10	1.3177865743063677e-10	1.2927009462870842e-10	1.2756863621010694e-10	1.2440752594766735e-10	1.2384189507219645e-10	1.213930067578417e-10	1.197426463539486e-10	1.191448745219148e-10	1.1814695055623048e-10	1.1721254522534252e-10	1.16887707846125e-10	1.1600038984926897e-10	1.1596229532173652e-10	1.1474458189164594e-10	1.1379091419128073e-10	1.1316513004455686e-10	1.1137338273847774e-10	1.1156142676327363e-10
1.40625	1.286348250140179e-10	1.1848118319779388e-10	1.1490580015260932e-10	1.1244430386803117e-10	1.1017983747585447e-10	1.086771228564487e-10	1.0598048133525495e-10	1.0583692255927701e-10	1.0366221075974735e-10	1.0242032222329556e-10	1.0200339878307929e-10	1.0131376293465166e-10	1.0039270109674092e-10	1.0020677343458573e-10	9.94555063305036e-11	9.960127167474297e-11	9.814056511903146e-11	9.824039498562698e-11	9.708887860337967e-11	9.544595669375155e-11	9.534546069334127e-11
1.4375	1.0582173332052136e-10	9.830003477873106e-11	9.563862896078135e-11	9.35033578342015e-11	9.165663367172172e-11	9.035326653528131e-11	8.864135814246055e-11	8.862075656645985e-11	8.68573615808721e-11	8.60413337799848e-11	8.569846221551103e-11	8.515020633037551e-11	8.439404036719722e-11	8.417794933324174e-11	8.343633423057994e-11	8.382822908048482e-11	8.232804021846007e-11	8.323555733547039e-11	8.179621563408901e-11	8.038868876125704e-11	8.018161135048274e-11
1.46875	8.69385258228661e-11	8.156121611424538e-11	7.95853660751078e-11	7.759522885342207e-11	7.627692227840654e-11	7.508012961343624e-11	7.44091177562467e-11	7.419787700913005e-11	7.298302240332788e-11	7.243070032636467e-11	7.204793012194344e-11	7.163236670493234e-11	7.096587900656814e-11	7.083868214241562e-11	6.995687362731928e-11	7.059493267735917e-11	6.927349666119298e-11	7.051432354687748e-11	6.904056493173272e-11	6.802041568887418e-11	6.762678611549333e-11
