Mass	Ion Current
1.0	6.883333486529253e-11
1.03125	7.126639556265246e-11
1.0625	7.677471158817895e-11
1.09375	8.695857228735449e-11
1.125	1.0273663170190517e-10
1.15625	1.2386873471381676e-10
1.1875	1.4897272304637e-10
1.21875	1.7585585765367284e-10
1.25	2.0172191694811659e-10
1.28125	2.2290132239977112e-10
1.3125	2.3462970455412346e-10
1.34375	2.326597525748042e-10
1.375	2.1722701415427537e-10
1.40625	1.9619562918737898e-10
1.4375	1.8376679344900282e-10
1.46875	1.9582915844473803e-10
1.5	2.464863313456078e-10
1.53125	3.478299592796219e-10
1.5625	5.119654145069319e-10
1.59375	7.547823477338511e-10
1.625	1.0989872345490426e-09
1.65625	1.568931096151971e-09
1.6875	2.17565720994628e-09
1.71875	2.907448948263891e-09
1.75	3.738642284645266e-09
1.78125	4.644785889240666e-09
1.8125	5.608697506431781e-09
1.84375	6.62615029511926e-09
1.875	7.725307504813372e-09
1.90625	8.971844600580425e-09
1.9375	1.040405184227211e-08
1.96875	1.1941871491671918e-08
2.0	1.3415188959697844e-08
2.03125	1.4691715399806071e-08
2.0625	1.572166574703715e-08
2.09375	1.64873856789427e-08
2.125	1.6967103277920614e-08
2.15625	1.7130036056300924e-08
2.1875	1.696975004961132e-08
2.21875	1.657067194571482e-08
2.25	1.6084243270597653e-08
2.28125	1.55518691258294e-08
2.3125	1.4765130451621644e-08
2.34375	1.3358582684475095e-08
2.375	1.1082589956856737e-08
2.40625	8.093287817700912e-09
2.4375	5.01855712542465e-09
2.46875	2.5842490369853977e-09
2.5	1.1049833270604381e-09
2.53125	4.049885982126966e-10
2.5625	1.3736350945592335e-10
2.59375	4.8812232034123326e-11
2.625	2.0586508192588227e-11
2.65625	1.0847366407884529e-11
2.6875	7.023348048973421e-12
2.71875	5.383580300305502e-12
2.75	4.678521025452964e-12
2.78125	4.428127135802651e-12
2.8125	4.440902073160613e-12
2.84375	4.634840688327868e-12
2.875	4.9438638946575075e-12
2.90625	5.286370299839582e-12
2.9375	5.593589393754206e-12
2.96875	5.844434311508273e-12
3.0	6.048332841512849e-12
3.03125	6.204302696599662e-12
3.0625	6.307778518260809e-12
3.09375	6.374005490084045e-12
3.125	6.403409486682721e-12
3.15625	6.3565953715982726e-12
3.1875	6.214511544255785e-12
3.21875	6.019433215764813e-12
3.25	5.822313117742617e-12
3.28125	5.622344170091997e-12
3.3125	5.3639237149183394e-12
3.34375	4.970000539589181e-12
3.375	4.379318088720829e-12
3.40625	3.5813749969110242e-12
3.4375	2.6662112188186038e-12
3.46875	1.82755113126154e-12
3.5	1.2379823728647654e-12
3.53125	9.236036414839166e-13
3.5625	7.918665723138929e-13
3.59375	7.393304176338267e-13
3.625	7.117439233469969e-13
3.65625	7.015592533993198e-13
3.6875	7.184198982240764e-13
3.71875	7.582744653532314e-13
3.75	7.996690332481848e-13
3.78125	8.290685304078449e-13
3.8125	8.541759964272866e-13
3.84375	8.864008160282266e-13
3.875	9.183756186081915e-13
3.90625	9.310631692710514e-13
3.9375	9.209807395882397e-13
3.96875	9.044965297577701e-13
4.0	8.978972621843939e-13
4.03125	9.016169429977572e-13
4.0625	9.042879834698925e-13
4.09375	8.977238440469049e-13
4.125	8.830794168829259e-13
4.15625	8.707238489252811e-13
4.1875	8.750789264218295e-13
4.21875	9.004016065725096e-13
4.25	9.3014430792987e-13
4.28125	9.340188128134641e-13
4.3125	8.930133108681071e-13
4.34375	8.180552589498458e-13
4.375	7.401000385459655e-13
4.40625	6.826530985458434e-13
4.4375	6.441043987233386e-13
4.46875	6.084899294503399e-13
4.5	5.712946934098573e-13
4.53125	5.435725654312495e-13
4.5625	5.324738588420586e-13
4.59375	5.324357491356957e-13
4.625	5.332315535303001e-13
4.65625	5.264901470521111e-13
4.6875	5.105034233884864e-13
4.71875	4.950202574238727e-13
