Mass	Ion Current
1.0	6.827513554519271e-11
1.03125	6.855596645927164e-11
1.0625	7.028079507254148e-11
1.09375	7.442228083798241e-11
1.125	8.160304376669814e-11
1.15625	9.149111329653792e-11
1.1875	1.0273683292982838e-10
1.21875	1.1362798202352309e-10
1.25	1.2257030113094203e-10
1.28125	1.2776579794149256e-10
1.3125	1.2695254569816683e-10
1.34375	1.1833406476924324e-10
1.375	1.0248601273188385e-10
1.40625	8.336551587939667e-11
1.4375	6.670579366652163e-11
1.46875	5.6913352503018544e-11
1.5	5.5474614485406804e-11
1.53125	6.19722259620481e-11
1.5625	7.606209412314158e-11
1.59375	9.858609761881354e-11
1.625	1.3133556742150887e-10
1.65625	1.757281126169019e-10
1.6875	2.3144806904351611e-10
1.71875	2.9681943014558954e-10
1.75	3.7061678725969216e-10
1.78125	4.525443075831248e-10
1.8125	5.419555360042239e-10
1.84375	6.373631622480502e-10
1.875	7.374162946938156e-10
1.90625	8.417344599109811e-10
1.9375	9.505738418624787e-10
1.96875	1.0633303126894589e-09
2.0	1.1765227680982093e-09
2.03125	1.2828778039875033e-09
2.0625	1.3733609804944535e-09
2.09375	1.44090117615292e-09
2.125	1.4812709947520375e-09
2.15625	1.4911463175337758e-09
2.1875	1.4701350137258373e-09
2.21875	1.426833873274802e-09
2.25	1.3759020589532156e-09
2.28125	1.3209608962228003e-09
2.3125	1.2424402617838837e-09
2.34375	1.1088300277961594e-09
2.375	9.035948100866165e-10
2.40625	6.47257802910417e-10
2.4375	3.9474551405405123e-10
2.46875	2.01174604752552e-10
2.5	8.59754420434733e-11
2.53125	3.2094594343279326e-11
2.5625	1.1584139897324874e-11
2.59375	4.762961726412218e-12
2.625	2.5534184142084193e-12
2.65625	1.7762130741921789e-12
2.6875	1.4553032173444946e-12
2.71875	1.3007518239599447e-12
2.75	1.2285872189390923e-12
2.78125	1.1932297597910813e-12
2.8125	1.1558213153933794e-12
2.84375	1.1117496897042334e-12
2.875	1.0843865952750442e-12
2.90625	1.0819263237052401e-12
2.9375	1.0856267057199331e-12
2.96875	1.0806181253639191e-12
3.0	1.074057943278861e-12
3.03125	1.0793339963108273e-12
3.0625	1.0987223500805166e-12
3.09375	1.122546608618713e-12
3.125	1.1353888749315866e-12
3.15625	1.1277064351777888e-12
3.1875	1.107535287439565e-12
3.21875	1.0916164890420466e-12
3.25	1.0838898138396114e-12
3.28125	1.071731570677359e-12
3.3125	1.0390034102178425e-12
3.34375	9.793448604161759e-13
3.375	9.021620256399743e-13
3.40625	8.23797627336198e-13
3.4375	7.539984804051658e-13
3.46875	6.955838357559918e-13
3.5	6.524407208073624e-13
3.53125	6.325633918578821e-13
3.5625	6.39080314276258e-13
3.59375	6.591494385900509e-13
3.625	6.770942313771844e-13
3.65625	6.928656324893534e-13
3.6875	7.07440995974945e-13
3.71875	7.088718175819742e-13
3.75	6.942853952342232e-13
3.78125	6.833719245862013e-13
3.8125	6.898926417121809e-13
3.84375	6.989480608871057e-13
3.875	6.890415430067798e-13
3.90625	6.615604873812242e-13
3.9375	6.348699235596278e-13
3.96875	6.231188525232523e-13
4.0	6.294959670714861e-13
