Mass	Ion Current
1.0	3.7559073906567875e-11
1.03125	3.725057068360016e-11
1.0625	3.7317569173689336e-11
1.09375	3.795374778348126e-11
1.125	3.920393523704213e-11
1.15625	4.097030353866771e-11
1.1875	4.3030447260949956e-11
1.21875	4.502144490547977e-11
1.25	4.648750134839119e-11
1.28125	4.688820165466012e-11
1.3125	4.56119066127858e-11
1.34375	4.226464664358609e-11
1.375	3.7101176297849037e-11
1.40625	3.10720685292587e-11
1.4375	2.532993953474616e-11
1.46875	2.0643188547442293e-11
1.5	1.7189119919103213e-11
1.53125	1.475483450696924e-11
1.5625	1.3032923698585996e-11
1.59375	1.1789057577371587e-11
1.625	1.0921416548903551e-11
1.65625	1.0417233915760438e-11
1.6875	1.0251515782100373e-11
1.71875	1.0380986001368164e-11
1.75	1.0785199122675948e-11
1.78125	1.1441428533764952e-11
1.8125	1.2317077913159835e-11
1.84375	1.3395849533803794e-11
1.875	1.4645798462886717e-11
1.90625	1.6009520098503316e-11
1.9375	1.7482756561881807e-11
1.96875	1.9105933848906353e-11
2.0	2.0836632766418894e-11
2.03125	2.2522820414261346e-11
2.0625	2.3981578875509335e-11
2.09375	2.504944342229809e-11
2.125	2.5639084605399987e-11
2.15625	2.5764109595760587e-11
2.1875	2.5480327917049017e-11
2.21875	2.4888322305849364e-11
2.25	2.4153819569439072e-11
2.28125	2.3325135226071048e-11
2.3125	2.2111767278287786e-11
2.34375	2.000673238189421e-11
2.375	1.6706904956698132e-11
2.40625	1.2472047700162747e-11
2.4375	8.143860585896334e-12
2.46875	4.6778145593173726e-12
2.5	2.519639878684199e-12
2.53125	1.4750351547826446e-12
2.5625	1.0809144378176594e-12
2.59375	9.534417526324557e-13
2.625	8.895098741780461e-13
2.65625	8.277548568455528e-13
2.6875	7.726154243291317e-13
2.71875	7.355098518083136e-13
2.75	7.151725500871564e-13
2.78125	7.001496821548714e-13
2.8125	6.780804216732772e-13
2.84375	6.496079173710922e-13
2.875	6.298935440081366e-13
2.90625	6.290997995976599e-13
2.9375	6.390712611881177e-13
2.96875	6.47562624182807e-13
3.0	6.538546830706093e-13
3.03125	6.589014273430949e-13
3.0625	6.553471957812529e-13
3.09375	6.386483681307398e-13
3.125	6.177011484774508e-13
3.15625	6.073286405033906e-13
3.1875	6.10777921294936e-13
3.21875	6.146448909734314e-13
3.25	6.081170723232221e-13
3.28125	5.97904701010038e-13
3.3125	5.94156993570516e-13
3.34375	5.960897465732973e-13
3.375	6.01011807595947e-13
3.40625	6.117561969151697e-13
3.4375	6.268371238737913e-13
3.46875	6.372817312923218e-13
3.5	6.389547636646842e-13
3.53125	6.349483113766985e-13
3.5625	6.262550699374925e-13
3.59375	6.148603761552129e-13
3.625	6.083412311223835e-13
3.65625	6.06954753384209e-13
3.6875	5.985277919985654e-13
3.71875	5.786331158143254e-13
3.75	5.627444040270935e-13
3.78125	5.673812114581622e-13
3.8125	5.88413866242643e-13
3.84375	6.06803832441799e-13
3.875	6.088797001313484e-13
3.90625	5.971145886768392e-13
3.9375	5.861498352660588e-13
3.96875	5.853395567724518e-13
4.0	5.888777421421409e-13
4.03125	5.906060146151915e-13
4.0625	5.976886737271703e-13
4.09375	6.179551770464642e-13
4.125	6.41991342899273e-13
4.15625	6.545280810399401e-13
4.1875	6.540462615944875e-13
4.21875	6.444122579302158e-13
4.25	6.238322033426391e-13
4.28125	5.93766138687335e-13
4.3125	5.626060056197757e-13
4.34375	5.347055805939027e-13
4.375	5.10677925728148e-13
4.40625	4.978470977481941e-13
4.4375	5.013918967511355e-13
4.46875	5.119136993643469e-13
4.5	5.177494175577502e-13
4.53125	5.179415923928232e-13
4.5625	5.157363793840963e-13
4.59375	5.126377837852414e-13
4.625	5.122461699605396e-13
4.65625	5.182768277045557e-13
4.6875	5.263039353289867e-13
4.71875	5.293299978025023e-13
4.75	5.334194457667918e-13
4.78125	5.516751877369941e-13
4.8125	5.785880672140586e-13
4.84375	5.890037264345838e-13
4.875	5.71714442280935e-13
4.90625	5.460206939367218e-13
4.9375	5.336862137113318e-13
4.96875	5.308426224634455e-13
5.0	5.200431556738605e-13
5.03125	4.978860206061864e-13
5.0625	4.767326399097993e-13
5.09375	4.672439193366407e-13
5.125	4.679211120135751e-13
5.15625	4.677146257098252e-13
5.1875	4.581773328793393e-13
5.21875	4.4318490392304677e-13
5.25	4.3646152230597535e-13
5.28125	4.4967816362900814e-13
5.3125	4.800327886925193e-13
5.34375	5.118614950297418e-13
5.375	5.304246625259523e-13
5.40625	5.295024943681448e-13
5.4375	5.127029443358078e-13
5.46875	4.961337872651239e-13
5.5	5.008003018357188e-13
5.53125	5.292535073392335e-13
5.5625	5.569945546457511e-13
5.59375	5.585037640698509e-13
5.625	5.327539624733202e-13
5.65625	4.972020516656739e-13
5.6875	4.6966852065497e-13
5.71875	4.577378515287223e-13
5.75	4.536414917755832e-13
5.78125	4.430659127346165e-13
5.8125	4.289812591522918e-13
5.84375	4.340529942848531e-13
5.875	4.662935619223485e-13
5.90625	5.001927149382579e-13
5.9375	5.113924149598159e-13
5.96875	5.095466691813766e-13
