Mass	Ion Current
1.0	9.553179775023679e-11
1.03125	1.0519270177145046e-10
1.0625	1.2342488142635943e-10
1.09375	1.5514622919710064e-10
1.125	2.0351824392417228e-10
1.15625	2.6784185980233133e-10
1.1875	3.438070106387414e-10
1.21875	4.254697705263766e-10
1.25	5.061164820574504e-10
1.28125	5.762263999287143e-10
1.3125	6.215304382273246e-10
1.34375	6.282618869590806e-10
1.375	5.966595550965792e-10
1.40625	5.508837830348057e-10
1.4375	5.342580267075903e-10
1.46875	5.947930481475794e-10
1.5	7.74507125100854e-10
1.53125	1.1091028095933098e-09
1.5625	1.636386470771356e-09
1.59375	2.4105288876086206e-09
1.625	3.5158318478778483e-09
1.65625	5.0636939086246e-09
1.6875	7.1525838585273505e-09
1.71875	9.790982247182e-09
1.75	1.2846031793856127e-08
1.78125	1.6111158629428246e-08
1.8125	1.9443938015228923e-08
1.84375	2.2811631694708012e-08
1.875	2.6238341277462496e-08
1.90625	2.976139334975869e-08
1.9375	3.340768728321564e-08
1.96875	3.715626206712841e-08
2.0	4.090208705065379e-08
2.03125	4.444822820914851e-08
2.0625	4.754476279344999e-08
2.09375	4.99678698417938e-08
2.125	5.155213145258131e-08
2.15625	5.2145921358714986e-08
2.1875	5.168303829350407e-08
2.21875	5.040038431047833e-08
2.25	4.8765553373186776e-08
2.28125	4.6933870123666566e-08
2.3125	4.434247102835798e-08
2.34375	3.998948017169823e-08
2.375	3.320601038581117e-08
2.40625	2.443777447069806e-08
2.4375	1.5403374575839734e-08
2.46875	8.12255418480845e-09
2.5	3.56425222669543e-09
2.53125	1.3325445191725294e-09
2.5625	4.550019805371619e-10
2.59375	1.60754132227936e-10
2.625	6.753821807370386e-11
2.65625	3.635746911867521e-11
2.6875	2.508163121639484e-11
2.71875	2.125290568533167e-11
2.75	2.0676370338090777e-11
2.78125	2.1673059180660204e-11
2.8125	2.344162190748289e-11
2.84375	2.5521876279022138e-11
2.875	2.7688532022729362e-11
2.90625	2.987152886158029e-11
2.9375	3.198259018732941e-11
2.96875	3.388002031701198e-11
3.0	3.549298355220998e-11
3.03125	3.682582364050724e-11
3.0625	3.78257737632115e-11
3.09375	3.8368499349905605e-11
3.125	3.8373488414622514e-11
3.15625	3.786521790560826e-11
3.1875	3.696204106673484e-11
3.21875	3.584543772916504e-11
3.25	3.4656721936698887e-11
3.28125	3.3315978448245076e-11
3.3125	3.1461125371556875e-11
3.34375	2.8618548503223096e-11
3.375	2.4438631673895372e-11
3.40625	1.8967046683249222e-11
3.4375	1.2954443941171068e-11
3.46875	7.678052638127042e-12
